"time","num_instructions","location","block","condition","success","participant_id"
8.78247800000008,3,"3",1,"tactile","success",3415
6.08167920000005,2,"4",1,"tactile","success",3415
6.81019430000015,2,"2",1,"tactile","success",3415
6.79454450000003,3,"9",1,"tactile","success",3415
7.15392569999995,3,"1",1,"tactile","exFail",3415
4.81930839999995,2,"6",1,"tactile","success",3415
7.4839872,3,"rep_1",1,"tactile","success",3415
6.0907109000002,2,"2",1,"auditory","success",3415
4.88523149999992,2,"4",1,"auditory","success",3415
6.05062229999999,2,"6",1,"auditory","fail",3415
8.73864780000008,3,"3",1,"auditory","exFail",3415
7.0335877,3,"7",1,"auditory","success",3415
7.87600929999985,3,"9",1,"auditory","success",3415
9.67504550000012,4,"1",1,"auditory","success",3415
5.03387109999994,2,"8",1,"auditory","success",3415
7.60473330000013,3,"rep_3",1,"auditory","success",3415
6.8312962,3,"9",2,"tactile","success",3415
6.19070959999999,2,"2",2,"tactile","success",3415
6.22556359999999,3,"7",2,"tactile","success",3415
4.73662659999991,2,"8",2,"tactile","success",3415
5.12619050000012,2,"6",2,"tactile","success",3415
4.97282129999985,2,"4",2,"tactile","success",3415
7.76421120000009,3,"3",2,"tactile","success",3415
7.4708349,3,"1",2,"tactile","success",3415
5.51215789999992,2,"8",2,"auditory","success",3415
8.44327750000002,3,"1",2,"auditory","success",3415
7.89197100000001,3,"7",2,"auditory","success",3415
5.58611909999991,2,"4",2,"auditory","success",3415
5.95934390000002,2,"6",2,"auditory","success",3415
1.42208219999998,1,"9",2,"auditory","exFail",3415
6.4798274000002,2,"2",2,"auditory","success",3415
8.81907589999992,3,"3",2,"auditory","success",3415
1.54836550000005,1,"rep_9",2,"auditory","exFail",3415
9.31869749999987,3,"rep_9",2,"auditory","success",3415
5.02181180000002,2,"4",3,"tactile","success",3415
4.7784666,2,"8",3,"tactile","success",3415
6.81966680000005,3,"9",3,"tactile","success",3415
7.69549749999987,3,"1",3,"tactile","success",3415
6.59872429999996,2,"2",3,"tactile","success",3415
7.97631249999995,3,"3",3,"tactile","success",3415
6.71679210000002,3,"7",3,"tactile","success",3415
4.82126130000006,2,"6",3,"tactile","success",3415
5.14778019999994,2,"8",3,"auditory","success",3415
5.9641830999999,2,"2",3,"auditory","success",3415
8.19070620000002,3,"1",3,"auditory","success",3415
7.70035200000007,3,"7",3,"auditory","success",3415
5.50253139999995,2,"6",3,"auditory","success",3415
7.0001572000001,3,"9",3,"auditory","success",3415
7.87275749999981,3,"3",3,"auditory","success",3415
5.08599490000006,2,"4",3,"auditory","success",3415
14.6181889,3,"1",1,"tactile","success",3545
10.3210778999999,2,"8",1,"tactile","success",3545
12.9389294,3,"7",1,"tactile","success",3545
7.80865820000008,2,"6",1,"tactile","success",3545
9.15287119999994,2,"2",1,"tactile","success",3545
9.95435889999999,2,"4",1,"tactile","success",3545
10.0959428000001,3,"3",1,"tactile","success",3545
8.48516159999986,3,"9",1,"tactile","success",3545
7.11653000000001,2,"2",1,"auditory","success",3545
9.3428801,3,"3",1,"auditory","success",3545
10.4701745999998,3,"1",1,"auditory","success",3545
10.6542279999999,3,"7",1,"auditory","exFail",3545
6.60050090000004,2,"8",1,"auditory","success",3545
7.97375220000004,2,"4",1,"auditory","success",3545
8.79318060000014,3,"9",1,"auditory","success",3545
5.9410312,2,"6",1,"auditory","success",3545
7.10977890000004,3,"rep_7",1,"auditory","success",3545
7.16768970000021,3,"1",2,"tactile","success",3545
8.5445193999999,3,"9",2,"tactile","success",3545
5.77785259999996,2,"4",2,"tactile","success",3545
6.44264520000002,3,"7",2,"tactile","success",3545
4.51585670000009,2,"8",2,"tactile","success",3545
6.36811360000002,2,"2",2,"tactile","success",3545
9.7649464000001,4,"3",2,"tactile","success",3545
4.5072811,2,"6",2,"tactile","success",3545
5.01830020000011,2,"8",2,"auditory","success",3545
7.10513220000007,3,"9",2,"auditory","success",3545
4.68170710000004,2,"2",2,"auditory","success",3545
6.80843980000009,3,"3",2,"auditory","success",3545
4.0329749,2,"6",2,"auditory","success",3545
7.68450589999998,3,"1",2,"auditory","success",3545
6.3636383999999,3,"7",2,"auditory","success",3545
4.60507589999997,2,"4",2,"auditory","success",3545
4.36051300000008,2,"4",3,"tactile","success",3545
5.1134012,3,"9",3,"tactile","success",3545
4.29376180000008,2,"8",3,"tactile","success",3545
4.89515299999994,2,"6",3,"tactile","success",3545
6.35514089999992,3,"3",3,"tactile","success",3545
6.42245259999981,3,"7",3,"tactile","success",3545
5.84039690000009,3,"1",3,"tactile","success",3545
5.62679909999997,2,"2",3,"tactile","success",3545
5.05896570000004,2,"6",3,"auditory","success",3545
7.28216210000005,5,"3",3,"auditory","exFail",3545
4.62655870000003,2,"2",3,"auditory","success",3545
5.68775189999997,3,"7",3,"auditory","success",3545
5.45450610000012,3,"9",3,"auditory","success",3545
3.66718730000002,2,"8",3,"auditory","success",3545
7.12854719999996,3,"1",3,"auditory","success",3545
4.17022369999995,2,"4",3,"auditory","success",3545
6.65000729999997,3,"rep_3",3,"auditory","success",3545
20,2,"1",1,"auditory","fail",3558
19.1469921999999,1,"4",1,"auditory","exFail",3558
9.0981890999999,2,"2",1,"auditory","fail",3558
11.3432048999998,2,"8",1,"auditory","success",3558
7.47131469999999,2,"6",1,"auditory","fail",3558
7.06032929999992,3,"7",1,"auditory","success",3558
7.26288460000001,3,"3",1,"auditory","exFail",3558
6.6369717,3,"9",1,"auditory","success",3558
4.87396599999988,2,"rep_4",1,"auditory","success",3558
6.15770500000008,3,"rep_3",1,"auditory","success",3558
5.62335039999994,2,"6",1,"tactile","success",3558
5.97250699999995,3,"1",1,"tactile","success",3558
5.5141157999999,3,"3",1,"tactile","success",3558
5.01950820000002,3,"9",1,"tactile","success",3558
4.05503210000006,3,"7",1,"tactile","success",3558
3.13762619999989,2,"8",1,"tactile","success",3558
5.71885320000001,2,"2",1,"tactile","success",3558
5.0706189,3,"4",1,"tactile","exFail",3558
3.47881170000005,2,"rep_4",1,"tactile","success",3558
5.9495131000001,3,"1",2,"auditory","success",3558
3.14444869999988,2,"8",2,"auditory","success",3558
3.06495840000002,2,"4",2,"auditory","success",3558
4.30872799999997,4,"7",2,"auditory","success",3558
4.49786479999989,3,"3",2,"auditory","success",3558
3.42076469999984,2,"2",2,"auditory","success",3558
3.05658709999989,2,"6",2,"auditory","success",3558
3.9078184,3,"9",2,"auditory","success",3558
4.05854520000003,1,"3",2,"tactile","exFail",3558
3.42980920000014,1,"8",2,"tactile","exFail",3558
4.42473700000005,2,"2",2,"tactile","success",3558
4.20780149999996,3,"9",2,"tactile","success",3558
4.07207500000004,3,"1",2,"tactile","success",3558
3.39959820000013,2,"6",2,"tactile","success",3558
2.8830074,2,"4",2,"tactile","success",3558
3.46277039999995,3,"7",2,"tactile","success",3558
